_id,Action,Short Action,File Name,Formal Stakeholder,Category,Labels,Insert Datetime
684961e59b5e602eb0072a49,"NPWS, DAFM, the Department of Rural and Community Development (DRCD) and the Department of the Environment, Climate and Communications (DECC) will continue to build support for community biodiversity initiatives such as EIPs, the Small Recording Projects grant scheme, Community Foundation Ireland Environment and Nature Fund, LEADER, Local Agenda 21, Shared Island Fund, The Community Heritage Grants Scheme, Peatlands Community Engagement Scheme and Geological Survey Ireland (GSI) Geoheritage Grant Scheme",Promote community biodiversity initiatives,Ireland's 4th National Biodiversity Plan 2023 to 2030,National Parks and Wildlife Service,"Department of Housing, Local Government and Heritage","Department of Housing, Local Government and Heritage 003",2025-06-19T12:00:53.240Z
684961e59b5e602eb0072a4a,"NPWS, DAFM, the Department of Rural and Community Development (DRCD) and the Department of the Environment, Climate and Communications (DECC) will continue to build support for community biodiversity initiatives such as EIPs, the Small Recording Projects grant scheme, Community Foundation Ireland Environment and Nature Fund, LEADER, Local Agenda 21, Shared Island Fund, The Community Heritage Grants Scheme, Peatlands Community Engagement Scheme and Geological Survey Ireland (GSI) Geoheritage Grant Scheme",Promote community biodiversity initiatives,Ireland's 4th National Biodiversity Plan 2023 to 2030,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:00:53.240Z
684961e59b5e602eb0072a4b,"NPWS, DAFM, the Department of Rural and Community Development (DRCD) and the Department of the Environment, Climate and Communications (DECC) will continue to build support for community biodiversity initiatives such as EIPs, the Small Recording Projects grant scheme, Community Foundation Ireland Environment and Nature Fund, LEADER, Local Agenda 21, Shared Island Fund, The Community Heritage Grants Scheme, Peatlands Community Engagement Scheme and Geological Survey Ireland (GSI) Geoheritage Grant Scheme",Promote community biodiversity initiatives,Ireland's 4th National Biodiversity Plan 2023 to 2030,Department of Rural and Community Development,Department of Rural and Community Development,Department of Rural and Community Development 001,2025-06-19T12:00:53.240Z
684961e59b5e602eb0072a4c,"DAFM, DHLGH and other relevant stakeholders will build and enhance engagement with terrestrial, freshwater, coastal and marine stakeholders and the wider community to promote the benefits of biodiversity and ecosystem services, and the responsible, sustainable use of resources",Promote responsible ecosystem engagement,Ireland's 4th National Biodiversity Plan 2023 to 2030,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:00:53.240Z
684961e59b5e602eb0072a4d,"DAFM, DHLGH and other relevant stakeholders will build and enhance engagement with terrestrial, freshwater, coastal and marine stakeholders and the wider community to promote the benefits of biodiversity and ecosystem services, and the responsible, sustainable use of resources",Promote responsible ecosystem engagement,Ireland's 4th National Biodiversity Plan 2023 to 2030,"Department of Environment, Climate and Communications","Department of Environment, Climate and Communications","Department of Environment, Climate and Communications 004",2025-06-19T12:00:53.240Z
684961e59b5e602eb0072a4e,"DAFM will ensure that farmers are incentivised to create and maintain habitats on farms as part of Irelandâ€™s CAP SP 2023- 2027 and the Rural Development Plan, which sits under the CAP SP",Incentivise habitat creation on farms,Ireland's 4th National Biodiversity Plan 2023 to 2030,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:00:53.240Z
684961e59b5e602eb0072a4f,2.1.5. Support research on economic and societal valuations and non-economic valuations of ecosystem services and benefits and how biodiversity underpins these values,Research biodiversity ecosystem valuation,National Biodiversity Action Plan 2017 - 2021,Environmental Protection Agency,State Agencies ,State Agencies  001,2025-06-19T12:00:53.240Z
684961e59b5e602eb0072a50,2.1.5. Support research on economic and societal valuations and non-economic valuations of ecosystem services and benefits and how biodiversity underpins these values,Research biodiversity ecosystem valuation,National Biodiversity Action Plan 2017 - 2021,"Department of Environment, Climate and Communications","Department of Environment, Climate and Communications","Department of Environment, Climate and Communications 004",2025-06-19T12:00:53.240Z
684961e59b5e602eb0072a51,2.1.5. Support research on economic and societal valuations and non-economic valuations of ecosystem services and benefits and how biodiversity underpins these values,Research biodiversity ecosystem valuation,National Biodiversity Action Plan 2017 - 2021,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:00:53.240Z
684961e59b5e602eb0072a52,2.1.5. Support research on economic and societal valuations and non-economic valuations of ecosystem services and benefits and how biodiversity underpins these values,Research biodiversity ecosystem valuation,National Biodiversity Action Plan 2017 - 2021,Irish Farmers' Association,Trade Association,Trade Association 013,2025-06-19T12:00:53.240Z
