MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,Formal Stakeholder,Category
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 1,Immediately implement the ‘Ag  Climatise’ Roadmap.,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 1,Immediately implement the ‘Ag  Climatise’ Roadmap.,Farmers,Producers
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 1,Immediately implement the ‘Ag  Climatise’ Roadmap.,Environmental Protection Agency,State Agencies 
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 1,Immediately implement the ‘Ag  Climatise’ Roadmap.,Intergovernmental Panel on Climate Change,Research and Regulatory
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 1,Immediately implement the ‘Ag  Climatise’ Roadmap.,Signpost Farm Programme,Semi-state agency
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 2,Produce detailed plans by Q2 2022 to  manage the sustainable environmental  footprint of the dairy and the beef  sectors.,Ag Climatise,"Department of Agriculture, Food and the Marine"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 2,Produce detailed plans by Q2 2022 to  manage the sustainable environmental  footprint of the dairy and the beef  sectors.,National Dairy Council,Trade Association
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 2,Produce detailed plans by Q2 2022 to  manage the sustainable environmental  footprint of the dairy and the beef  sectors.,Teagasc The Agriculture and Food Development Authority,Semi-state agency
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 2,Produce detailed plans by Q2 2022 to  manage the sustainable environmental  footprint of the dairy and the beef  sectors.,National Dairy Council,Trade Association
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 2,Produce detailed plans by Q2 2022 to  manage the sustainable environmental  footprint of the dairy and the beef  sectors.,Farmers,Producers
