_id,Speaker,Topic Thoughts,Sentiment,Organization,Designation,Category,Labels,norm,topic,source,Insert Datetime
685e954d57f9330c86279a9c,Ms Justice Mary Laffoy,"The speaker supports a balanced approach to carbon emissions in agriculture, advocating for a tax on emissions while also rewarding farmers for carbon-sequestering practices and ensuring a just transition.",Support,Supreme Court of Ireland,Justice (Retired),Research and Regulatory,Research and Regulatory 080,researchandregulatory080,carbon,Sentiment Analysis,2025-06-27T13:57:49.276Z
685e954d57f9330c86279a9d,Ms Justice Mary Laffoy,"The speaker supports a balanced approach to agriculture and sustainability, advocating for a tax on greenhouse gas emissions while also promoting rewards for carbon-sequestering land management practices.",Support,Supreme Court of Ireland,Justice (Retired),Research and Regulatory,Research and Regulatory 080,researchandregulatory080,carbon,Sentiment Analysis,2025-06-27T13:57:49.276Z
685e954d57f9330c86279a9e,Ms Justice Mary Laffoy,"The speaker supports a balanced approach to agriculture and sustainability, advocating for a tax on greenhouse gas emissions while also rewarding farmers for carbon-sequestering land management practices.",Support,Supreme Court of Ireland,Justice (Retired),Research and Regulatory,Research and Regulatory 080,researchandregulatory080,carbon,Sentiment Analysis,2025-06-27T13:57:49.276Z
685e954d57f9330c86279a9f,Deputy Paul Murphy,The speaker believes that Ireland is lagging in addressing climate change and that political actions contradict the need for urgent climate action.,Oppose,People Before Profit Alliance,Deputy (TD),Political party,Political party 008,politicalparty008,carbon,Sentiment Analysis,2025-06-27T13:57:49.276Z
685e954d57f9330c86279aa0,Deputy Paul Murphy,The speaker believes that Ireland is lagging in addressing carbon emissions and climate change compared to other EU member states.,Oppose,People Before Profit Alliance,Deputy (TD),Political party,Political party 008,politicalparty008,carbon,Sentiment Analysis,2025-06-27T13:57:49.276Z
685e954d57f9330c86279aa1,Deputy Pat Deering,The speaker expresses concern about balancing agricultural production targets with greenhouse gas emissions.,Neutral,Fine Gael,"Deputy (TD), Former Chair of the Joint Oireachtas Committee on Agriculture, Food and the Marine",Political Party,Political Party 003,politicalparty003,carbon,Sentiment Analysis,2025-06-27T13:57:49.276Z
685e954d57f9330c86279aa2,Senator Michelle Mulherin,The speaker acknowledges the need for carbon efficiency in food production but expresses concern about the burden of additional carbon taxes on farmers.,Oppose,Seanad Eireann,Senator,Seanad Eireann,Seanad Eireann 001,seanadeireann001,carbon,Sentiment Analysis,2025-06-27T13:57:49.276Z
685e954d57f9330c86279aa3,Senator Michelle Mulherin,The speaker acknowledges the need for carbon efficiency in food production but expresses concern about the burden of additional carbon taxes on farmers.,Oppose,Seanad Eireann,Senator,Seanad Eireann,Seanad Eireann 001,seanadeireann001,carbon,Sentiment Analysis,2025-06-27T13:57:49.276Z
685e954d57f9330c86279aa4,Senator Michelle Mulherin,The speaker acknowledges the need for carbon efficiency in food production but is concerned about the burden of carbon taxes on farmers.,Oppose,Seanad Eireann,Senator,Seanad Eireann,Seanad Eireann 001,seanadeireann001,carbon,Sentiment Analysis,2025-06-27T13:57:49.276Z
685e954d57f9330c86279aa5,Senator Michelle Mulherin,The speaker acknowledges the need for carbon efficiency in food production but is concerned about the burden of carbon taxes on farmers.,Oppose,Seanad Eireann,Senator,Seanad Eireann,Seanad Eireann 001,seanadeireann001,carbon,Sentiment Analysis,2025-06-27T13:57:49.276Z
