_id,MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,Formal Stakeholder,Category,Labels,Insert Datetime
6849667a9b5e602eb0072aab,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 1,Immediately implement the ‘Ag  Climatise’ Roadmap.,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072aac,MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072aad,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 1,Immediately implement the ‘Ag  Climatise’ Roadmap.,Farmers,Producers,Producers 008,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072aae,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 1,Immediately implement the ‘Ag  Climatise’ Roadmap.,Environmental Protection Agency,State Agencies ,State Agencies  001,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072aaf,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 1,Immediately implement the ‘Ag  Climatise’ Roadmap.,Intergovernmental Panel on Climate Change,Research and Regulatory,Research and Regulatory 048,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ab0,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 1,Immediately implement the ‘Ag  Climatise’ Roadmap.,Signpost Farm Programme,Semi-state agency,Semi-state agency 010,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ab1,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 2,Produce detailed plans by Q2 2022 to  manage the sustainable environmental  footprint of the dairy and the beef  sectors.,Ag Climatise,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 002",2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ab2,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 2,Produce detailed plans by Q2 2022 to  manage the sustainable environmental  footprint of the dairy and the beef  sectors.,National Dairy Council,Trade Association,Trade Association 022,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ab3,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 2,Produce detailed plans by Q2 2022 to  manage the sustainable environmental  footprint of the dairy and the beef  sectors.,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ab4,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 2,Produce detailed plans by Q2 2022 to  manage the sustainable environmental  footprint of the dairy and the beef  sectors.,National Dairy Council,Trade Association,Trade Association 022,2025-06-11T12:20:26.020Z
