RECOMMENDATION,Short Recommendation,Action,Short Action,Formal Stakeholder,Category,Labels,Insert Datetime
Measurement of Irelandâ€™s environmental sustainability credentials,Measurement of Irelandâ€™s environmental sustainability credentials,"Bord Bia to further develop the range and depth of sustainability information collected for beef, dairy and other primary agricultural sectors using its auditing infrastructure",Develop sustainability data collection system,Irish Farmers' Association,Trade Association,Trade Association 013,2025-06-19T12:33:35.895Z
Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,DAFM to work closely with all stakeholders to ensure that the scientific findings from the Agricultural Catchments Programme are integrated fully and appropriately into agri-environmental policies.,Integrate findings into policy framework,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,"DAFM, SFPA and Industry to develop a suite of measures to promote changed behaviour which will minimise juvenile catch and protect vulnerable stocks.",Develop measures to reduce bycatch,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,"DAFM, SFPA and Industry to develop a suite of measures to promote changed behaviour which will minimise juvenile catch and protect vulnerable stocks.",Develop measures to reduce bycatch,Seafisheries Protection Authority,Research And Regulatory,Research and Regulatory 074,2025-06-19T12:33:35.895Z
Develop and support Agri-food processing sector in delivering sustainable processes and outputs,Support sustainable agri-food processing,"Enterprise Ireland to invest in in-company innovation processes, R&D and NPD development programmes, and to support the human and capital infrastructure requirements of that absorptive capacity.",Invest in innovation and infrastructure,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003",2025-06-19T12:33:35.895Z
Develop and support Agri-food processing sector in delivering sustainable processes and outputs,Support sustainable agri-food processing,Horizon 2020 is a key source of vital funding and scientific benchmarking for Irish researchers and companies. EI with DAFM to increase the level of participation of Irish companies in the programme.,Increase Horizon 2020 participation levels,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003",2025-06-19T12:33:35.895Z
Develop and support Agri-food processing sector in delivering sustainable processes and outputs,Support sustainable agri-food processing,Horizon 2020 is a key source of vital funding and scientific benchmarking for Irish researchers and companies. EI with DAFM to increase the level of participation of Irish companies in the programme.,Increase Horizon 2020 participation levels,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Education Programmes,Education Programmes,"A review of existing level 5 and 6 further education awards and curricula in agriculture and associated curricula should be undertaken. Teagasc will undertake this review under the auspices of Quality and Qualifications Ireland (QQI), in consultation with a wide body of stakeholders to ensure that they are both fit-for-purpose and to future proof them in terms of emerging industry needs.",Review Level 5/6 agricultural curricula,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Education Programmes,Education Programmes,"A review of existing level 5 and 6 further education awards and curricula in agriculture and associated curricula should be undertaken. Teagasc will undertake this review under the auspices of Quality and Qualifications Ireland (QQI), in consultation with a wide body of stakeholders to ensure that they are both fit-for-purpose and to future proof them in terms of emerging industry needs.",Review Level 5/6 agricultural curricula,Quality And Qualifications Ireland,State Agencies And Local Authorities,State Agencies and Local Authorities 015,2025-06-19T12:33:35.895Z
Education Programmes,Education Programmes,Teagasc to seek delegated authority to make education awards as part of new Quality and Qualifications Ireland (QQI) structure. This would allow more flexible and responsive development of future agricultural education programmes.,Seek authority for education awards,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Education Programmes,Education Programmes,Teagasc to seek delegated authority to make education awards as part of new Quality and Qualifications Ireland (QQI) structure. This would allow more flexible and responsive development of future agricultural education programmes.,Seek authority for education awards,Quality And Qualifications Ireland,State Agencies And Local Authorities,State Agencies and Local Authorities 015,2025-06-19T12:33:35.895Z
Education Programmes,Education Programmes,"Teagasc to continue to calibrate its education function to match the needs of industry, for example through the development and introduction of customised short training programmes along the lines of the recently introduced milking skills training for operatives.",Calibrate education to industry needs,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Education Programmes,Education Programmes,Increase enrolments in Level 6 Advanced Dairy Programme and Professional Diploma in Dairy Farm Management and seek to fast track entry to the latter in association with UCD.,Increase enrolment in dairy programmes,University College Dublin,Research And Regulatory,Research and Regulatory 092,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,Teagasc to prioritise the development of a new Dairy Expansion Service to deliver one to one services to support dairy farm businesses in planning and monitoring their dairy expansion operations.,Develop Dairy Expansion Service support,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,Implement a third phase of the Teagasc/Farmers Journal BETTER Farm Beef Programme with an emphasis on transferring best practice in management and breeding to the maximum number of farms.,Implement phase three BETTER programme,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,"Teagasc to continue to develop its â€˜Options Plusâ€™ programme for improving off-farm income generation of farmers and to link farm families with the variety of learning opportunities provided by other agencies including the ETBs, LEOs, LDCs, third level institutions and Social Welfare including the development of a communication tool which contains a calendar of skills training opportunities on a regional basis.",Expand ‘Options Plus’ income programme,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,"Teagasc to continue to develop its â€˜Options Plusâ€™ programme for improving off-farm income generation of farmers and to link farm families with the variety of learning opportunities provided by other agencies including the ETBs, LEOs, LDCs, third level institutions and Social Welfare including the development of a communication tool which contains a calendar of skills training opportunities on a regional basis.",Expand ‘Options Plus’ income programme,Education And Training Boards,Research And Regulatory,Research and Regulatory 030,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,"Teagasc to continue to develop its â€˜Options Plusâ€™ programme for improving off-farm income generation of farmers and to link farm families with the variety of learning opportunities provided by other agencies including the ETBs, LEOs, LDCs, third level institutions and Social Welfare including the development of a communication tool which contains a calendar of skills training opportunities on a regional basis.",Expand ‘Options Plus’ income programme,Local Enterprise Offices,State Agencies And Local Authorities,State Agencies and Local Authorities 007,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,"Teagasc to continue to develop its â€˜Options Plusâ€™ programme for improving off-farm income generation of farmers and to link farm families with the variety of learning opportunities provided by other agencies including the ETBs, LEOs, LDCs, third level institutions and Social Welfare including the development of a communication tool which contains a calendar of skills training opportunities on a regional basis.",Expand ‘Options Plus’ income programme,Least Developed Countries,International Organisation,International organisation 015,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,Teagasc to establish a pig farm manager course.,Expand ‘Options Plus’ income programme,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,"Consider the development of a Poultry advisory and research service, in partnership with industry to support poultry farm management.",Develop poultry advisory and research,Irish Farmers' Association,Trade Association,Trade Association 013,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,Enhance hill farming systems by promoting greater integration with lowlands sheep producers through the formation of joint hill/lowland knowledge transfer groups.,Promote hill-lowland farming integration,Irish Natura And Hill Farmers Association,Trade Association,Trade Association 015,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,Enhance hill farming systems by promoting greater integration with lowlands sheep producers through the formation of joint hill/lowland knowledge transfer groups.,Promote hill-lowland farming integration,Irish Farmers' Association,Trade Association,Trade Association 013,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,Enhance hill farming systems by promoting greater integration with lowlands sheep producers through the formation of joint hill/lowland knowledge transfer groups.,Promote hill-lowland farming integration,National Hill Farmers Association,Trade Association,Trade Association 023,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,Establish knowledge transfer groups for malting barley growers,Create barley knowledge transfer groups,Irish Farmers' Association,Trade Association,Trade Association 013,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,Teagasc to develop a Technology Outreach Service to support rural-based agri_x0002_professionals in delivering services to farmers.,Develop rural agri-professional support,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,"DAFM, through its research funding programmes (Stimulus, FIRM and CoFoRD), to continue to support the development of the new thought and technology leaders for the agri-food sector through supporting agri-food Masters and PhD students on suitable scientific and impactful research projects",Support research leadership development,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,The DAFM funded Agri-Food Graduate Development Programme to be used as a platform to develop a model to deliver continuous professional development to graduates in agri-food companies through short themed modular courses and work placed Masters and PhD programmes.,Deliver graduate professional development,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,"To ensure food clients have the essential capabilities and capacity in place to support ambitious international growth strategies Enterprise Ireland will continue to develop customised management programmes around key themes of Leadership and Management Development, Operational and Manufacturing development capacity, International Sales and Marketing, Innovation and Entrepreneur Development, to inspire ambitious business leaders and equip them with the tools and techniques to grow their businesses. These programmes include Leadership for Growth, Innovation for Growth, Platform for Growth, Business Processing Offer, Foodworks and Competitiveness Improvement Programme.",Develop customised management training,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003",2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,Enterprise Ireland to develop a portfolio of business-focused executive development programmes in partnership with the third level sector which include a focus on building specialist business and leadership capability at middle_x0002_management level in order to support the development and retention of future leaders within the agri-food sector.,Build executive business development programmes,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003",2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,Enterprise Ireland to develop Leadership for Growth (L4G) Alumni Master Classes that are tailored to address the need of clients.,Develop L4G alumni masterclasses,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003",2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,Enterprise Ireland will promote and develop Gradhubâ€™s Graduate Business Growth Initiative (Graduate Placement) to assist indigenous food and drink SMEs to scale and grow their businesses through the introduction of graduate talent.,Expand graduate SME placement scheme,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003",2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,Enterprise Ireland will promote and develop Gradhubâ€™s Graduate Business Growth Initiative (Graduate Placement) to assist indigenous food and drink SMEs to scale and grow their businesses through the introduction of graduate talent.,Expand graduate SME placement scheme,Irish Farmers' Association,Trade Association,Trade Association 013,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,Enterprise Ireland will promote and develop Gradhubâ€™s Graduate Business Growth Initiative (Graduate Placement) to assist indigenous food and drink SMEs to scale and grow their businesses through the introduction of graduate talent.,Expand graduate SME placement scheme,Small And Medium Enterprises,Sales And Retail,Sales and Retail 012,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,"To increase innovation capability and absorption capacity across the sector Enterprise Ireland, in association with the relevant research institutions will design and develop a Food Innovation Fellowship programme to increase and embed technical capability within food companies.",Launch Food Innovation Fellowship programme,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003",2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,"Enterprise Irelandâ€™s Innovation 4 Growth programme will support companies to implement innovation practices, processes and culture with a focus on market led innovation.",Implement Innovation 4 Growth programme,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003",2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,Teagasc will develop an industry-based Walsh Fellowship Postgraduate scheme to enhance the scientific absorption capacity of the food SME sector,Create Walsh Postgraduate Fellowship scheme,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,Teagasc will develop an industry-based Walsh Fellowship Postgraduate scheme to enhance the scientific absorption capacity of the food SME sector,Create Walsh Postgraduate Fellowship scheme,Small And Medium Enterprises,Sales And Retail,Sales and Retail 012,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,"Explore formal opportunities to transfer learnings from food and drink production to new sector entrants via mentoring, training and skills transfer by Industry, Skillnets, universities, schools and Agri Aware.",Transfer industry learnings to entrants,Agri Aware,Ngo,NGO 001,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,"Enterprise Ireland and Bord Iascaigh Mhara (BIM) to continue to develop a series of tailored executive development programmes in the Seafood sector to prioritise leadership and management development, technical development (including safety and green manufacturing), and sales and marketing.",Develop executive programmes for seafood,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003",2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,"Enterprise Ireland and Bord Iascaigh Mhara (BIM) to continue to develop a series of tailored executive development programmes in the Seafood sector to prioritise leadership and management development, technical development (including safety and green manufacturing), and sales and marketing.",Develop executive programmes for seafood,Bord Iascaigh Mhara,Semi-State Agency,Semi-State Agency 002,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,Enterprise Ireland and Bord Bia to collaborate with industry on the development of a pilot support programme for agri-food companies to support overseas business development initiatives.,Develop executive programmes for seafood,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003",2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,"DAFM, Teagasc and the Health and Safety Authority to continue to support educational initiatives supporting behavioural change at farm level in respect of safety in particular as part of knowledge transfer groups and level 6 (green cert) education.",Support farm safety educational initiatives,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,"DAFM, Teagasc and the Health and Safety Authority to continue to support educational initiatives supporting behavioural change at farm level in respect of safety in particular as part of knowledge transfer groups and level 6 (green cert) education.",Support farm safety educational initiatives,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,"DAFM, Teagasc and the Health and Safety Authority to continue to support educational initiatives supporting behavioural change at farm level in respect of safety in particular as part of knowledge transfer groups and level 6 (green cert) education.",Support farm safety educational initiatives,Health And Safety Authority,Research And Regulatory,Research and Regulatory 044,2025-06-19T12:33:35.895Z
Knowledge Transfer,Knowledge Transfer,BIM to provide an enhanced programme of training for crew of fishing vessels with a strong focus on safety at sea.,Provide enhanced safety training programme,Bord Iascaigh Mhara,Semi-State Agency,Semi-State Agency 002,2025-06-19T12:33:35.895Z
Development of measures to manage impacts of price/income volatility,Develop measures for income volatility,DAFM to continue to support and pursue an adequately funded Common Agriculture Policy post 2020 and seek to maintain income supports at least at current levels.,Pursue funded agriculture policy support,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Development of measures to manage impacts of price/income volatility,Develop measures for income volatility,DAFM and industry to progress development of producer organisations in beef and horticulture sectors.,"Develop producer organisations beef, horticulture","Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Development of measures to manage impacts of price/income volatility,Develop measures for income volatility,DAFM and industry to explore mechanisms to improve transparency around pricing and costs.,Explore pricing transparency mechanisms,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Development of measures to manage impacts of price/income volatility,Develop measures for income volatility,DAFM to review the possibility of developing a mechanism to minimise risk for processors and give farmers confidence regarding price including possible mutual funds such as a reinsurance scheme.,Review risk minimisation mechanisms,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Ongoing review and updating of Agri-Taxation measures to address competitiveness issues,Review agri-taxation for competitiveness,The Agri-taxation Working Group to continue to examine and consider new actions which will help deliver:,Examine new agri-taxation actions,Agricultural Sustainability Support And Advisory Programme,Research And Regulatory,Research and Regulatory 007,2025-06-19T12:33:35.895Z
Ongoing review and updating of Agri-Taxation measures to address competitiveness issues,Review agri-taxation for competitiveness,Scope for an energy efficient SEAI scheme for non-incorporated farm businesses.,Develop energy efficient SEAI scheme,Sustainable Energy Authority Of Ireland,Semi-State Agency ,Semi-state agency  011,2025-06-19T12:33:35.895Z
Ongoing review and updating of Agri-Taxation measures to address competitiveness issues,Review agri-taxation for competitiveness,"Department of Finance and DAFM to improve dissemination of information on taxation incentives including engagement with advisors, tax consultants and accountants.",Improve taxation incentives dissemination,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Ongoing review and updating of Agri-Taxation measures to address competitiveness issues,Review agri-taxation for competitiveness,"DAFM and Department of Finance to undertake a review of capital, taxation and other incentives available to the seafood sector and to make initial recommendations by end 2015.",Review seafood sector incentives,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Aid farm restructuring and land mobility,Aid farm restructuring and land mobility,"DAFM should ensure that any future schemes and supports do not accentuate land mobility challenges and instead target those producers with best potential for growth and competitiveness, and in particular younger farmers with relevant qualifications and sound business plans.",Ensure schemes support growth potential,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Aid farm restructuring and land mobility,Aid farm restructuring and land mobility,DAFM should continue to take account of formally recognised collaborative farming arrangements in the design and implementation of its schemes and supports to ensure individuals are not disadvantaged by participating in these models of farming.,Account for collaborative farming arrangements,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Aid farm restructuring and land mobility,Aid farm restructuring and land mobility,"Explore greater use of joint approaches with DAFM, Teagasc, industry and professional stakeholders in engaging with the farming community to embrace longer-term leasing and collaborative farming arrangements to help resolve land mobility challenges.",Promote joint approaches for leasing,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Aid farm restructuring and land mobility,Aid farm restructuring and land mobility,"Explore greater use of joint approaches with DAFM, Teagasc, industry and professional stakeholders in engaging with the farming community to embrace longer-term leasing and collaborative farming arrangements to help resolve land mobility challenges.",Promote joint approaches for leasing,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Prioritisation of sustainable productivity improvements at producer level,Prioritise sustainable productivity gains,"Teagasc and other research providers to develop measures such as improved grazing management practices, increase soil fertility and sward renewal to increase grass utilisation by 2t/ha on livestock farms.",Develop improved grazing management measures,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Prioritisation of sustainable productivity improvements at producer level,Prioritise sustainable productivity gains,"Teagasc, other research bodies and industry to develop the use of precision technologies applicable to pasture based production.",Develop precision technologies for pasture,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Prioritisation of sustainable productivity improvements at producer level,Prioritise sustainable productivity gains,BIM to bring forward strategies/programmes to address irregularity in the supply of seed mussels into the bottom grown mussel sector. Continued research into the development of indicators for HNV farming that would allow targeted support for such farming systems.,Develop seed mussel supply strategies,Bord Iascaigh Mhara,Semi-State Agency,Semi-State Agency 002,2025-06-19T12:33:35.895Z
"Improve access to finance for agriculture, forestry and seafood producers and Agri-food companies",Improve agri-sector finance access,"DAFM will continue to explore additional innovative funding mechanisms and financial instruments, specific to the Agri-food sector, to complement existing mechanisms such as ISIF, SBCI and EIB, with a view to improving further competition in relation to credit provision. Appropriate delivery and distribution mechanisms will be considered including the potential for a dedicated Agri-food sector fund.",Explore innovative agri-food funding mechanisms,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
"Improve access to finance for agriculture, forestry and seafood producers and Agri-food companies",Improve agri-sector finance access,"DAFM will continue to explore additional innovative funding mechanisms and financial instruments, specific to the Agri-food sector, to complement existing mechanisms such as ISIF, SBCI and EIB, with a view to improving further competition in relation to credit provision. Appropriate delivery and distribution mechanisms will be considered including the potential for a dedicated Agri-food sector fund.",Explore innovative agri-food funding mechanisms,Ireland Strategic Investment Fund,Telecommunications And Financial Services,Telecommunications and Financial Services 007,2025-06-19T12:33:35.895Z
"Improve access to finance for agriculture, forestry and seafood producers and Agri-food companies",Improve agri-sector finance access,"DAFM will continue to explore additional innovative funding mechanisms and financial instruments, specific to the Agri-food sector, to complement existing mechanisms such as ISIF, SBCI and EIB, with a view to improving further competition in relation to credit provision. Appropriate delivery and distribution mechanisms will be considered including the potential for a dedicated Agri-food sector fund.",Explore innovative agri-food funding mechanisms,Strategic Banking Corporation Of Ireland,Telecommunications And Financial Services,Telecommunications and Financial Services 010,2025-06-19T12:33:35.895Z
