_id,Speaker,Topic Thoughts,Sentiment,Organization,Designation,Category,Labels,Insert Datetime
6849ec1728a615fc0c4cf48b,Ms Justice Mary Laffoy,The speaker advocates for increased community ownership in renewable energy projects to enhance local involvement.,Support,Supreme Court of Ireland,Justice (Retired),Research and Regulatory 080,"Research and Regulatory 080, Justice (Retired)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf48c,Ms Justice Mary Laffoy,"The speaker emphasizes the necessity of addressing climate change, acknowledging its broad implications, particularly for the agricultural sector.",Support,Supreme Court of Ireland,Justice (Retired),Research and Regulatory 080,"Research and Regulatory 080, Justice (Retired)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf48d,Deputy Pat Deering,The speaker expresses concern about balancing increased agricultural production with greenhouse gas emissions.,Neutral,Fine Gael,"Deputy (TD), Former Chair of the Joint Oireachtas Committee on Agriculture, Food and the Marine",Political Party 003,"Political Party 003, Deputy (TD), Former Chair of the Joint Oireachtas Committee on Agriculture, Food and the Marine",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf48e,Senator Michelle Mulherin,The speaker acknowledges the need for carbon efficiency in food production but is concerned about the impact of carbon taxes on farmers.,Oppose,Seanad Eireann,Senator,Seanad Eireann 001,"Seanad Eireann 001, Senator",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf48f,Senator Michelle Mulherin,The speaker acknowledges the need for carbon efficiency in food production but is concerned about the impact of carbon taxes on farmers.,Oppose,Seanad Eireann,Senator,Seanad Eireann 001,"Seanad Eireann 001, Senator",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf490,Senator Michelle Mulherin,The speaker acknowledges the need for carbon efficiency in food production but is concerned about the impact of carbon taxes on farmers.,Neutral,Seanad Eireann,Senator,Seanad Eireann 001,"Seanad Eireann 001, Senator",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf491,Senator Michelle Mulherin,The speaker acknowledges the need for carbon efficiency in food production but is concerned about the impact of carbon taxes on farmers.,Neutral,Seanad Eireann,Senator,Seanad Eireann 001,"Seanad Eireann 001, Senator",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf492,Senator Michelle Mulherin,The speaker acknowledges the need for carbon efficiency in food production but is concerned about the impact of additional carbon taxes on farmers.,Oppose,Seanad Eireann,Senator,Seanad Eireann 001,"Seanad Eireann 001, Senator",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf493,Senator Michelle Mulherin,The speaker acknowledges the need for carbon efficiency in food production but is concerned about the impact of additional carbon taxes on farmers.,Oppose,Seanad Eireann,Senator,Seanad Eireann 001,"Seanad Eireann 001, Senator",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf494,Professor Alan Barrett,The speaker indicates that there is no evidence of significant decoupling between economic growth and greenhouse gas emissions.,Neutral,Economic and Social Research Institute,Director,Research and Regulatory 029,"Research and Regulatory 029, Director",2025-06-11T21:50:31.061Z
