_id,Speaker,Topic Thoughts,Sentiment,Organization,Designation,Category,Labels,Insert Datetime
6849ec1628a615fc0c4ceebd,Senator Michelle Mulherin,The speaker acknowledges the need for carbon efficiency in food production but is concerned about the impact of carbon taxes on farmers.,Oppose,Seanad Eireann,Senator,Seanad Eireann 001,"Seanad Eireann 001, Senator",2025-06-11T21:50:30.429Z
6849ec1628a615fc0c4ceebe,Senator Michelle Mulherin,The speaker acknowledges the need for carbon efficiency in food production but is concerned about the impact of carbon taxes on farmers.,Oppose,Seanad Eireann,Senator,Seanad Eireann 001,"Seanad Eireann 001, Senator",2025-06-11T21:50:30.429Z
6849ec1628a615fc0c4ceebf,Ms Laura Burke,The speaker emphasizes the interconnectedness of water quality with other environmental issues and notes the loss of pristine water areas that needs attention.,Neutral,Environmental Protection Agency,Director General,State Agencies  001,"State Agencies  001, Director General",2025-06-11T21:50:30.429Z
6849ec1628a615fc0c4ceec0,Ms Laura Burke,The speaker emphasizes the interconnectedness of water quality with other environmental issues and expresses concern over the loss of pristine water areas.,Oppose,Environmental Protection Agency,Director General,State Agencies  001,"State Agencies  001, Director General",2025-06-11T21:50:30.429Z
6849ec1628a615fc0c4ceec1,Mr. Andrew St. Ledger,The speaker advocates for allowing trees to grow older to absorb more carbon and develop complex ecosystem services.,Support,The Woodland League,Co founder and Spokesperson,NGO 028,"NGO 028, Co founder and Spokesperson",2025-06-11T21:50:30.429Z
6849ec1628a615fc0c4ceec2,Mr. Andrew St. Ledger,The speaker advocates for long-term carbon storage through the growth of older trees in forests.,Neutral,The Woodland League,Co founder and Spokesperson,NGO 028,"NGO 028, Co founder and Spokesperson",2025-06-11T21:50:30.429Z
6849ec1628a615fc0c4ceec3,Professor John Sweeney,The speaker emphasizes the importance of focusing on rural development within the Common Agricultural Policy to support a just transition in agriculture.,Support,Maynooth University,Emeritus Professor,Research and Regulatory 055,"Research and Regulatory 055, Emeritus Professor",2025-06-11T21:50:30.429Z
6849ec1628a615fc0c4ceec4,Mr. Charles Stanley-Smith,The speaker highlights the importance of protecting freshwater pearl mussels to meet water quality standards.,Support,An Taisce  The National Trust for Ireland,Former Chairperson,NGO 002,"NGO 002, Former Chairperson",2025-06-11T21:50:30.429Z
6849ec1628a615fc0c4ceec5,Deputy Eamon Ryan,The speaker acknowledges the importance of water management in relation to emissions reduction.,Support,Green Party,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications and Minister for Transport",Political Party 004,"Political Party 004, Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications and Minister for Transport",2025-06-11T21:50:30.429Z
6849ec1628a615fc0c4ceec6,Deputy Eamon Ryan,The speaker acknowledges the importance of water management in relation to emissions reduction.,Support,Green Party,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications",Political Party 004,"Political Party 004, Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications",2025-06-11T21:50:30.429Z
6849ec1628a615fc0c4ceec7,Deputy Eamon Ryan,The speaker acknowledges the importance of water management in relation to emissions reduction.,Support,Green Party,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications and Minister for Transport",Political Party 004,"Political Party 004, Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications and Minister for Transport",2025-06-11T21:50:30.429Z
6849ec1628a615fc0c4ceec8,Deputy Eamon Ryan,The speaker acknowledges the importance of water management in relation to emissions reduction.,Support,Green Party,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications",Political Party 004,"Political Party 004, Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications",2025-06-11T21:50:30.429Z
